,year,round,from_country,to_country,total_points,tele_points,jury_points,from_capital,to_capital,distance
373,1960,final,de,fr,1,,,Berlin,Paris,879.1173202399925
374,1960,final,de,gb,1,,,Berlin,London,933.3328468181853
375,1960,final,de,mc,7,,,Berlin,Monaco,1072.217845995094
376,1960,final,de,no,0,,,Berlin,Oslo,838.9454390999987
377,1960,final,de,de,0,,,Berlin,Berlin,0.0
378,1960,final,de,be,1,,,Berlin,Brussels,654.1588402686469
379,1960,final,de,at,0,,,Berlin,Vienna,524.8127243398101
380,1960,final,de,ch,0,,,Berlin,Bern,755.5725545140924
381,1960,final,de,it,0,,,Berlin,Rome,1182.2198917921066
382,1960,final,de,se,0,,,Berlin,Stockholm,810.1104952838541
383,1960,final,de,dk,0,,,Berlin,København,355.6111228302461
384,1960,final,de,nl,0,,,Berlin,Amsterdam,576.9659417505894
385,1960,final,de,lu,0,,,Berlin,Luxembourg,603.3396258070721
386,1960,final,it,fr,0,,,Rome,Paris,1106.6514654769796
387,1960,final,it,gb,2,,,Rome,London,1434.3928220297348
388,1960,final,it,mc,0,,,Rome,Monaco,463.39659153630015
389,1960,final,it,no,0,,,Rome,Oslo,2006.1938075933585
390,1960,final,it,de,0,,,Rome,Berlin,1182.2198917921066
391,1960,final,it,be,3,,,Rome,Brussels,1172.6152169771856
392,1960,final,it,at,1,,,Rome,Vienna,764.1043383207954
393,1960,final,it,ch,1,,,Rome,Bern,685.0903920981563
394,1960,final,it,it,0,,,Rome,Rome,0.0
395,1960,final,it,se,1,,,Rome,Stockholm,1975.4094461608236
396,1960,final,it,dk,0,,,Rome,København,1531.41171527301
397,1960,final,it,nl,1,,,Rome,Amsterdam,1293.6272974837725
398,1960,final,it,lu,1,,,Rome,Luxembourg,987.9252918784165
399,1960,final,lu,fr,1,,,Luxembourg,Paris,287.3413976495997
400,1960,final,lu,gb,5,,,Luxembourg,London,489.92391740894965
401,1960,final,lu,mc,1,,,Luxembourg,Monaco,659.5454049761961
402,1960,final,lu,no,0,,,Luxembourg,Oslo,1183.9290571496938
403,1960,final,lu,de,0,,,Luxembourg,Berlin,603.3396258070721
404,1960,final,lu,be,0,,,Luxembourg,Brussels,187.14009930225865
405,1960,final,lu,at,0,,,Luxembourg,Vienna,765.8565588126423
406,1960,final,lu,ch,1,,,Luxembourg,Bern,315.6768084051438
407,1960,final,lu,it,1,,,Luxembourg,Rome,987.9252918784165
408,1960,final,lu,se,0,,,Luxembourg,Stockholm,1324.3606796212912
409,1960,final,lu,dk,1,,,Luxembourg,København,802.6126363729492
410,1960,final,lu,nl,0,,,Luxembourg,Amsterdam,316.64920565521464
411,1960,final,lu,lu,0,,,Luxembourg,Luxembourg,0.0
412,1960,final,mc,fr,5,,,Monaco,Paris,689.6391784074304
413,1960,final,mc,gb,1,,,Monaco,London,1031.496168068737
414,1960,final,mc,mc,0,,,Monaco,Monaco,0.0
